datetime,tamilnadu_load_MW,temperature_C,humidity_%,hour,dayofweek,month
2024-01-01 00:00:00,102.82783788817285,22.764306263625585,73.08929148978514,0,0,1
2024-01-01 01:00:00,107.4175169703364,25.622646925525547,71.93845145608806,1,0,1
2024-01-01 02:00:00,118.58270981362016,26.43085482841613,90.30116960369563,2,0,1
2024-01-01 03:00:00,129.17261984075324,24.573995391098236,77.35191353098844,3,0,1
2024-01-01 04:00:00,125.15426236303317,26.530721201523047,79.06835296708984,4,0,1
2024-01-01 05:00:00,128.15135712704284,23.751860347883582,74.43321639257705,5,0,1
2024-01-01 06:00:00,138.24033120065363,20.942746363410876,84.73873318082826,6,0,1
2024-01-01 07:00:00,133.1592155575533,24.324331416893155,76.0892374880594,7,0,1
2024-01-01 08:00:00,123.97765730697509,25.29859785458455,77.54072164587572,8,0,1
2024-01-01 09:00:00,124.27027077664295,24.620453641765433,81.49463888126313,9,0,1
2024-01-01 10:00:00,113.02717865905439,22.854927034239378,74.67680714795446,10,0,1
2024-01-01 11:00:00,105.78018970834103,21.540835609800713,79.1041254366112,11,0,1
2024-01-01 12:00:00,101.55407848094687,24.14395595282255,87.00808473169867,12,0,1
2024-01-01 13:00:00,83.01329454675208,26.967445104857834,82.13830877176665,13,0,1
2024-01-01 14:00:00,76.71967796055155,27.684528440385712,80.64974824632412,14,0,1
2024-01-01 15:00:00,76.31962604131542,27.547560329835257,81.07136033150165,15,0,1
2024-01-01 16:00:00,69.29934940791144,23.540314491261242,78.0513613042995,16,0,1
2024-01-01 17:00:00,72.93772899742102,22.86472091429762,89.97779838295696,17,0,1
2024-01-01 18:00:00,65.80414674551064,26.165402791518137,75.936251131512,18,0,1
2024-01-01 19:00:00,64.30497382776817,26.4423335847542,81.05166759400198,19,0,1
2024-01-01 20:00:00,81.6917488541913,25.972472771959342,80.57216461589637,20,0,1
2024-01-01 21:00:00,78.00218218508759,21.14400701308282,85.04084931984801,21,0,1
2024-01-01 22:00:00,85.6819081465563,23.438364391791414,85.51290647815053,22,0,1
2024-01-01 23:00:00,85.45595483897375,25.11275598098639,79.83694276174697,23,0,1
2024-01-02 00:00:00,97.966518609829,26.318652505488313,81.44148048035935,0,1,1
2024-01-02 01:00:00,109.00761653407987,26.878830841432432,81.63082178436383,1,1,1
2024-01-02 02:00:00,109.9334643453434,25.63272316079154,68.62743973694106,2,1,1
2024-01-02 03:00:00,123.78012575977971,26.00578372930393,72.04320000240521,3,1,1
2024-01-02 04:00:00,123.66600089639405,25.513947032949666,76.96282956118424,4,1,1
2024-01-02 05:00:00,128.20773827216058,26.715454864664423,77.18015463290975,5,1,1
2024-01-02 06:00:00,127.67989917130792,25.96994741920928,73.99173590497342,6,1,1
2024-01-02 07:00:00,138.92759794367166,25.47569143632203,83.73606087166225,7,1,1
2024-01-02 08:00:00,126.6017082222984,24.807478517952696,79.99874011988146,8,1,1
2024-01-02 09:00:00,116.61308102327183,25.50679896631242,78.9146752778599,9,1,1
2024-01-02 10:00:00,119.80115679297086,26.313398873906007,73.70737164225716,10,1,1
2024-01-02 11:00:00,102.34878533567543,25.87916689402358,79.76542369357016,11,1,1
2024-01-02 12:00:00,101.73275020747869,26.105868952917966,66.85472423480104,12,1,1
2024-01-02 13:00:00,83.12551025998042,28.029659838929827,79.17336646076488,13,1,1
2024-01-02 14:00:00,79.04750198796278,25.874543961720633,80.30406635883287,14,1,1
2024-01-02 15:00:00,80.45953497620413,24.046219075281144,81.19772293640159,15,1,1
2024-01-02 16:00:00,78.40000301889881,27.111429688215797,72.16763919739769,16,1,1
2024-01-02 17:00:00,72.56749884973271,22.611819440889622,81.11223169825146,17,1,1
2024-01-02 18:00:00,70.11019082051371,23.181389354748884,74.78099166547138,18,1,1
2024-01-02 19:00:00,70.20513896583641,26.015910645667596,75.92579885333242,19,1,1
2024-01-02 20:00:00,67.31506016708462,26.377009451800614,83.57780494390741,20,1,1
2024-01-02 21:00:00,75.87600775488494,22.854113669219466,90.05871663159282,21,1,1
2024-01-02 22:00:00,83.38523837765597,24.578581154253957,80.2449418088075,22,1,1
2024-01-02 23:00:00,98.20947201047385,24.13204845178814,75.90267072159293,23,1,1
2024-01-03 00:00:00,102.75048479230739,24.542844026469346,80.91668856331951,0,2,1
2024-01-03 01:00:00,99.98176392072703,27.40339222477843,84.66848211326526,1,2,1
2024-01-03 02:00:00,117.65281319143905,26.929207599327043,83.0783241551332,2,2,1
2024-01-03 03:00:00,120.32018537797993,25.477952312525122,93.68890068808825,3,2,1
2024-01-03 04:00:00,123.62854545646844,24.424272818002684,76.3966484802962,4,2,1
2024-01-03 05:00:00,133.06854957734149,22.81689733179226,81.23449372536601,5,2,1
2024-01-03 06:00:00,136.18739095694482,28.356566549796437,87.71792609286054,6,2,1
2024-01-03 07:00:00,134.66656872871815,26.700424472802375,87.40413251086218,7,2,1
2024-01-03 08:00:00,122.81706784188505,24.102858464086257,70.22294669314762,8,2,1
2024-01-03 09:00:00,120.69953490080543,26.95539566748232,79.95654822556962,9,2,1
2024-01-03 10:00:00,117.6887105014829,25.37574943108329,87.39594015501302,10,2,1
2024-01-03 11:00:00,113.6746903331525,24.941977662507853,94.42655127776521,11,2,1
2024-01-03 12:00:00,98.63652215523862,26.386619728811745,83.49231574452361,12,2,1
2024-01-03 13:00:00,92.33952710807037,24.03320017240709,78.1340198572871,13,2,1
2024-01-03 14:00:00,80.50071847443495,24.828683633212318,74.92732056358257,14,2,1
2024-01-03 15:00:00,73.83815678846531,25.75911880063163,91.06705311342377,15,2,1
2024-01-03 16:00:00,79.11426034290292,24.51729428646211,83.61704425809832,16,2,1
2024-01-03 17:00:00,78.83581869864715,26.854367092767585,75.73300169134244,17,2,1
2024-01-03 18:00:00,70.67234273656341,29.25432967958906,78.95755449410062,18,2,1
2024-01-03 19:00:00,77.07228304525313,24.007600407018252,81.52426890991305,19,2,1
2024-01-03 20:00:00,76.85981135617008,22.18594607962445,82.69236959521011,20,2,1
2024-01-03 21:00:00,76.59359113584303,21.512716337280015,75.47524303804057,21,2,1
2024-01-03 22:00:00,87.83937137200714,25.215260389242573,76.90238423514207,22,2,1
2024-01-03 23:00:00,100.95800482371928,24.189867491980173,71.70866351390472,23,2,1
2024-01-04 00:00:00,101.19691834049664,26.10374527015736,85.15141755415561,0,3,1
2024-01-04 01:00:00,116.96383816819205,25.9532196120754,78.24451377228013,1,3,1
2024-01-04 02:00:00,103.27732301559767,22.481590574795007,82.28421435204817,2,3,1
2024-01-04 03:00:00,126.69876449351894,22.058256609060386,87.06389864901334,3,3,1
2024-01-04 04:00:00,127.79204599077042,26.27989074871539,81.05195681800144,4,3,1
